RowID,ChunkID,position_with_chunk,month,weekday,hour,PM25_1,PM25_2,PM25_3,PM25_6,PM25_8,PM25_15,PM25_25,PM10_1,PM10_2,PM10_3,PM10_6,PM10_8,PM10_15,PM10_25,NO2_1,NO2_2,NO2_3,NO2_6,NO2_8,NO2_15,NO2_25,temperature_1,temperature_2,temperature_3,temperature_6,temperature_8,temperature_15,temperature_25,pressure_1,pressure_2,pressure_3,pressure_6,pressure_8,pressure_15,pressure_25,humidity_1,humidity_2,humidity_3,humidity_6,humidity_8,humidity_15,humidity_25,wind_1,wind_2,wind_3,wind_6,wind_8,wind_15,wind_25,weather_1,weather_2,weather_3,weather_6,weather_8,weather_15,weather_25
0,1,1,2,Saturday,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1,1,2,2,Saturday,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
2,1,3,2,Saturday,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
3,1,4,2,Saturday,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
4,1,5,2,Saturday,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
5,1,6,2,Saturday,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
6,1,7,2,Saturday,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
7,1,8,2,Saturday,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
8,1,9,2,Saturday,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
9,1,10,2,Saturday,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
10,1,11,2,Saturday,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
11,1,12,2,Saturday,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
12,1,13,2,Saturday,13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
13,1,14,2,Saturday,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
14,1,15,2,Saturday,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
15,1,16,2,Saturday,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
16,1,17,2,Saturday,17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
17,1,18,2,Saturday,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
18,1,19,2,Saturday,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
19,1,20,2,Saturday,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
20,1,21,2,Saturday,21,149,157,177,171,167,206,null,59,62,83,81,86,106,null,16,25,42,41,46,48,null,-5,-5,-5,-5,-5,-5,null,1031,1031,1031,1031,1031,1030,null,46,46,46,46,46,46,null,4,4,4,4,4,4,null,1,1,1,1,1,1,null 
21,1,22,2,Saturday,22,159,193,254,251,212,224,null,65,62,127,128,116,111,null,22,33,44,46,48,51,null,-5,-5,-5,-5,-5,-5,null,1030,1030,1030,1030,1030,1030,null,46,46,46,46,46,43,null,1,1,1,1,1,5,null,1,1,1,1,1,1,null 
22,1,23,2,Saturday,23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
23,1,24,2,Sunday,0,179,218,270,257,231,187,null,73,107,130,127,121,98,null,28,35,54,36,44,34,null,-6,-6,-6,-6,-5,-6,null,1029,1029,1029,1029,1030,1029,null,46,46,46,46,42,46,null,4,4,4,4,3,4,null,1,1,1,1,1,1,null 
24,1,25,2,Sunday,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
25,1,26,2,Sunday,2,194,230,218,177,186,176,null,73,103,110,83,86,76,null,29,38,47,36,35,32,null,-7,-7,-7,-7,-6,-7,null,1028,1028,1028,1028,1029,1028,null,49,49,49,49,47,49,null,3,3,3,3,3,3,null,1,1,1,1,1,1,null 
26,1,27,2,Sunday,3,191,226,203,181,186,180,null,73,114,108,84,86,76,null,27,39,38,36,35,33,null,-7,-7,-7,-7,-6,-7,null,1028,1028,1028,1028,1029,1028,null,50,50,50,50,47,50,null,2,2,2,2,3,2,null,1,1,1,1,1,1,null 
27,1,28,2,Sunday,4,194,211,203,181,186,184,null,73,106,108,86,86,76,null,25,35,38,35,35,34,null,-7,-7,-7,-7,-6,-7,null,1026,1026,1028,1026,1029,1027,null,53,53,50,53,47,53,null,2,2,2,2,3,2,null,1,1,1,1,1,1,null 
28,1,29,2,Sunday,5,193,194,194,191,178,184,null,73,95,94,86,84,76,null,23,35,42,35,33,37,null,-7,-7,-7,-7,-7,-7,null,1026,1026,1026,1026,1026,1026,null,54,54,54,54,54,54,null,2,2,2,2,2,2,null,1,1,1,1,1,1,null 
29,1,30,2,Sunday,6,192,196,199,193,178,189,null,73,95,94,98,84,76,null,21,44,38,35,33,37,null,-8,-8,-8,-8,-7,-8,null,1026,1026,1026,1026,1026,1026,null,52,52,52,52,54,52,null,2,2,2,2,2,2,null,1,1,1,1,1,1,null 
30,1,31,2,Sunday,7,192,187,197,183,188,193,null,73,95,94,87,90,76,null,23,42,47,35,39,42,null,-8,-8,-8,-8,-8,-8,null,1025,1025,1025,1025,1025,1025,null,54,54,54,54,54,54,null,3,3,3,3,3,3,null,1,1,1,1,1,1,null 
31,1,32,2,Sunday,8,190,189,193,184,192,195,null,73,95,94,87,99,76,null,20,42,46,35,39,42,null,-8,-8,-8,-8,-8,-8,null,1025,1025,1025,1025,1025,1025,null,55,55,55,55,55,55,null,3,3,3,3,3,3,null,1,1,1,1,1,1,null 
32,1,33,2,Sunday,9,189,194,191,188,202,199,null,73,95,94,90,104,76,null,17,41,45,35,39,41,null,-7,-7,-7,-7,-7,-7,null,1026,1026,1026,1026,1026,1026,null,54,54,54,54,54,54,null,2,2,2,2,2,2,null,1,1,1,1,1,1,null 
33,1,34,2,Sunday,10,189,196,195,192,202,191,null,73,95,94,99,104,90,null,21,39,42,35,39,38,null,-6,-6,-6,-6,-7,-6,null,1025,1025,1025,1025,1026,1025,null,48,48,48,48,54,48,null,3,3,3,3,2,3,null,1,1,1,1,1,1,null 
34,1,35,2,Sunday,11,193,206,195,192,205,201,null,73,95,94,100,107,90,null,35,38,42,34,36,37,null,-4,-4,-6,-4,-5,-4,null,1025,1025,1025,1025,1025,1025,null,42,42,48,42,44,42,null,3,3,3,3,5,3,null,1,1,1,1,1,1,null 
35,1,36,2,Sunday,12,239,210,206,192,205,201,null,73,95,94,95,107,90,null,32,36,42,35,36,37,null,-3,-3,-3,-3,-5,-4,null,1025,1025,1025,1025,1025,1025,null,38,38,38,38,44,42,null,5,5,5,5,5,3,null,3,3,3,3,3,3,null 
36,1,37,2,Sunday,13,242,196,199,193,210,195,null,73,98,100,99,114,95,null,32,31,40,33,35,37,null,-2,-2,-2,-2,-2,-1,null,1024,1024,1024,1024,1024,1024,null,37,37,37,37,37,35,null,2,2,2,2,2,3,null,3,3,3,3,3,3,null 
37,1,38,2,Sunday,14,230,195,213,193,210,207,null,73,98,100,99,106,95,null,32,31,40,33,34,33,null,-1,-1,-1,-1,-1,-1,null,1024,1024,1024,1024,1024,1024,null,35,35,35,35,35,35,null,3,3,3,3,3,3,null,3,3,3,3,3,3,null 
38,1,39,2,Sunday,15,225,197,201,192,192,201,null,73,98,99,97,101,95,null,30,34,40,35,38,35,null,2,2,2,2,2,2,null,1023,1023,1023,1023,1023,1023,null,29,29,29,29,29,29,null,1,1,1,1,1,1,null,3,3,3,3,3,3,null 
39,1,40,2,Sunday,16,222,194,212,186,201,187,null,73,93,99,91,110,89,null,26,36,51,39,39,37,null,2,2,2,2,2,2,null,1022,1022,1022,1022,1022,1022,null,29,29,29,29,28,29,null,2,2,2,2,1,2,null,3,3,3,3,3,3,null 
40,1,41,2,Sunday,17,208,195,200,183,193,193,null,73,94,101,89,100,89,null,26,38,54,41,43,46,null,2,2,2,2,2,2,null,1023,1023,1023,1023,1023,1023,null,32,32,32,32,32,32,null,3,3,3,3,2,3,null,3,3,3,3,3,3,null 
41,1,42,2,Sunday,18,194,208,218,190,200,199,null,73,94,101,92,103,89,null,33,53,61,52,54,57,null,1,1,1,1,1,1,null,1023,1023,1023,1023,1023,1023,null,36,36,36,36,36,36,null,1,1,1,1,1,1,null,3,3,3,3,3,3,null 
42,1,43,2,Sunday,19,194,216,243,221,217,215,null,73,94,101,109,112,89,null,48,60,68,54,58,62,null,-1,-1,0,-1,0,-1,null,1024,1024,1024,1024,1024,1024,null,39,39,39,39,39,39,null,3,3,3,3,3,3,null,3,3,3,3,3,3,null 
43,1,44,2,Sunday,20,215,232,285,241,239,243,null,73,94,144,122,129,89,null,51,64,70,55,58,61,null,-1,-1,-1,-1,-1,-1,null,1025,1025,1025,1025,1025,1025,null,42,42,42,42,42,42,null,2,2,2,2,2,2,null,3,3,3,3,3,3,null 
44,1,45,2,Sunday,21,234,246,348,274,369,278,null,73,123,177,141,304,89,null,42,62,70,54,58,62,null,-1,-1,-1,-1,-1,-1,null,1026,1026,1026,1026,1026,1026,null,45,45,45,45,45,45,null,2,2,2,2,2,2,null,3,3,3,3,3,3,null 
45,1,46,2,Sunday,22,252,248,399,360,366,363,null,133,125,304,196,361,190,null,45,50,69,54,57,62,null,0,0,0,0,0,0,null,1026,1026,1026,1026,1026,1026,null,28,28,28,28,28,28,null,7,7,7,7,7,7,null,3,3,3,3,3,3,null 
46,1,47,2,Sunday,23,327,189,474,446,515,462,null,133,104,373,343,485,365,null,22,29,68,45,38,46,null,-1,-1,-1,-1,-1,-1,null,1027,1027,1027,1027,1027,1027,null,26,26,26,26,26,26,null,4,4,4,4,4,4,null,3,3,3,3,3,3,null 
47,1,48,2,Monday,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
48,1,49,2,Monday,1,118,16,512,166,240,209,null,43,29,483,173,134,108,null,20,11,37,33,33,18,null,-2,-2,-2,-2,-2,-2,null,1028,1028,1028,1028,1027,1028,null,26,26,26,26,25,26,null,2,2,2,2,5,2,null,1,1,1,1,1,1,null 
49,1,50,2,Monday,2,279,26,592,267,261,180,null,196,23,483,167,267,84,null,26,20,44,31,24,23,null,-2,-2,-2,-2,-2,-2,null,1028,1028,1028,1028,1028,1028,null,26,26,26,26,26,26,null,5,5,5,5,5,5,null,1,1,1,1,1,1,null 
50,1,51,2,Monday,3,452,154,674,638,438,388,null,196,72,895,697,326,314,null,23,25,34,24,20,16,null,-2,-2,-2,-2,-2,-2,null,1028,1028,1028,1028,1028,1028,null,26,26,26,26,26,26,null,2,2,2,2,2,2,null,1,1,1,1,1,1,null 
51,1,52,2,Monday,4,430,275,300,295,226,224,null,393,140,336,158,146,120,null,25,23,25,19,20,15,null,-2,-2,-2,-2,-2,-2,null,1028,1028,1028,1028,1028,1028,null,25,25,25,25,25,25,null,4,4,4,4,4,4,null,1,1,1,1,1,1,null 
52,1,53,2,Monday,5,520,278,189,174,184,180,null,548,152,117,82,97,91,null,25,20,26,19,17,15,null,-3,-3,-3,-3,-3,-3,null,1028,1028,1028,1028,1028,1028,null,26,26,26,26,26,26,null,5,5,5,5,3,5,null,1,1,1,1,1,1,null 
53,1,54,2,Monday,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
54,1,55,2,Monday,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
55,1,56,2,Monday,8,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
56,1,57,2,Monday,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
57,1,58,2,Monday,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
58,1,59,2,Monday,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
59,1,60,2,Monday,12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
60,1,61,2,Monday,13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
61,1,62,2,Monday,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
62,1,63,2,Monday,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
63,1,64,2,Monday,16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
64,1,65,2,Monday,17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
65,1,66,2,Monday,18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
66,1,67,2,Monday,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
67,1,68,2,Monday,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
68,1,69,2,Monday,21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
69,1,70,2,Monday,22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
70,1,71,2,Monday,23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
71,1,72,2,Tuesday,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null ,null ,null ,null ,null ,null ,null 
